pathway_id,name,category,protein_count,pct_total
map04966,Collecting duct acid secretion,Organismal Systems,22,0.18
map04623,Cytosolic DNA-sensing pathway,Organismal Systems,21,0.17
map03020,RNA polymerase,Genetic Information Processing,21,0.17
map04136,Autophagy - other,Cellular Processes,21,0.17
map05219,Bladder cancer,Human Diseases,21,0.17
map01523,Antifolate resistance,Human Diseases,20,0.16
map00680,Methane metabolism,Metabolism,20,0.16
map04215,Apoptosis - multiple species,Cellular Processes,20,0.16
map00790,Folate biosynthesis,Metabolism,20,0.16
map00513,Various types of N-glycan biosynthesis,Metabolism,19,0.15
map05140,Leishmaniasis,Human Diseases,19,0.15
map04392,Hippo signaling pathway - multiple species,Environmental Information Processing,19,0.15
map00640,Propanoate metabolism,Metabolism,19,0.15
map04614,Renin-angiotensin system,Organismal Systems,18,0.14
map03420,Nucleotide excision repair,Genetic Information Processing,18,0.14
map00650,Butanoate metabolism,Metabolism,18,0.14
map05322,Systemic lupus erythematosus,Human Diseases,17,0.14
map00350,Tyrosine metabolism,Metabolism,17,0.14
map00410,beta-Alanine metabolism,Metabolism,17,0.14
map04060,Cytokine-cytokine receptor interaction,Environmental Information Processing,17,0.14
map04711,Circadian rhythm - fly,Organismal Systems,17,0.14
map00220,Arginine biosynthesis,Metabolism,17,0.14
map00510,N-Glycan biosynthesis,Metabolism,17,0.14
map04080,Neuroactive ligand-receptor interaction,Environmental Information Processing,17,0.14
map00600,Sphingolipid metabolism,Metabolism,17,0.14
map00760,Nicotinate and nicotinamide metabolism,Metabolism,16,0.13
map04950,Maturity onset diabetes of the young,Human Diseases,16,0.13
map05217,Basal cell carcinoma,Human Diseases,16,0.13
map02024,Quorum sensing,Cellular Processes,15,0.12
map04640,Hematopoietic cell lineage,Organismal Systems,15,0.12
map00360,Phenylalanine metabolism,Metabolism,15,0.12
map00062,Fatty acid elongation,Metabolism,15,0.12
map00450,Selenocompound metabolism,Metabolism,15,0.12
map00061,Fatty acid biosynthesis,Metabolism,15,0.12
map04626,Plant-pathogen interaction,Organismal Systems,15,0.12
map00531,Glycosaminoglycan degradation,Metabolism,14,0.11
map00930,Caprolactam degradation,Metabolism,13,0.1
map01040,Biosynthesis of unsaturated fatty acids,Metabolism,13,0.1
map00950,Isoquinoline alkaloid biosynthesis,Metabolism,12,0.1
map03030,DNA replication,Genetic Information Processing,12,0.1
map03460,Fanconi anemia pathway,Genetic Information Processing,12,0.1
map05144,Malaria,Human Diseases,12,0.1
map03440,Homologous recombination,Genetic Information Processing,12,0.1
map04940,Type I diabetes mellitus,Human Diseases,12,0.1
map04975,Fat digestion and absorption,Organismal Systems,11,0.09
map00340,Histidine metabolism,Metabolism,11,0.09
map04742,Taste transduction,Organismal Systems,11,0.09
map01220,Degradation of aromatic compounds,Other,11,0.09
